super_opeid,name,type,tier,tier_name,iclevel,region,state,cz,czname,cfips,county,multi,count,female,k_married,mr_kq5_pq1,mr_ktop1_pq1,par_mean,par_median,par_rank,par_q1,par_q2,par_q3,par_q4,par_q5,par_top10pc,par_top5pc,par_top1pc,par_toppt1pc,k_rank,k_mean,k_median,k_median_nozero,k_0inc,k_q1,k_q2,k_q3,k_q4,k_q5,k_top10pc,k_top5pc,k_top1pc,k_rank_cond_parq1,k_rank_cond_parq2,k_rank_cond_parq3,k_rank_cond_parq4,k_rank_cond_parq5,kq1_cond_parq1,kq2_cond_parq1,kq3_cond_parq1,kq4_cond_parq1,kq5_cond_parq1,kq1_cond_parq2,kq2_cond_parq2,kq3_cond_parq2,kq4_cond_parq2,kq5_cond_parq2,kq1_cond_parq3,kq2_cond_parq3,kq3_cond_parq3,kq4_cond_parq3,kq5_cond_parq3,kq1_cond_parq4,kq2_cond_parq4,kq3_cond_parq4,kq4_cond_parq4,kq5_cond_parq4,kq1_cond_parq5,kq2_cond_parq5,kq3_cond_parq5,kq4_cond_parq5,kq5_cond_parq5,ktop1pc_cond_parq1,ktop1pc_cond_parq2,ktop1pc_cond_parq3,ktop1pc_cond_parq4,ktop1pc_cond_parq5,k_married_cond_parq1,k_married_cond_parq2,k_married_cond_parq3,k_married_cond_parq4,k_married_cond_parq5,shareimputed,imputed
3537,Abilene Christian University,2,6,Selective private,1,3,TX,32501,Abilene,48441,Taylor,0,838.6666667,0.55961841,0.71257001,0.014363836,0.001996945,138760.9698,101000,0.683686359,0.052441355,0.10103199,0.16393574,0.25824007,0.42435089,0.23586491,0.12660472,0.023049099,0.000841904,0.59242207,50874.14613,40100,44400,0.1212462,0.1400653,0.13294759,0.17327738,0.24644408,0.30726567,0.17170201,0.10058448,0.028367676,0.61133856,0.5487659,0.55333102,0.59738696,0.61255848,0.094144821,0.10862718,0.25599816,0.26732701,0.27390283,0.18618762,0.12963904,0.2034312,0.23309059,0.24765149,0.14365052,0.15883599,0.20837456,0.2874772,0.20166177,0.13800208,0.13981503,0.17422011,0.23329166,0.31467104,0.13462961,0.1225604,0.14174302,0.2391946,0.3618724,0.038079586,0.010980259,0.017191675,0.016094882,0.043093346,0.64650488,0.6595313,0.68103665,0.73097068,0.73434627,0,0
1345,Adams State University,1,5,Selective public,1,4,CO,34805,Alamosa,8003,Alamosa,0,393.3333333,0.50084746,0.56966305,0.018844681,3.10155E-05,76121.81634,67200,0.540471235,0.12922439,0.1855039,0.24842876,0.26087633,0.17596665,0.064278461,0.024887405,0.003146715,0,0.55242109,38010.81341,34100,36600,0.11228829,0.12124767,0.15907787,0.24386188,0.27226484,0.20354776,0.078580491,0.030641153,0.005832592,0.49757031,0.53208673,0.56378084,0.55884016,0.58858407,0.169993,0.20166962,0.21881245,0.26369584,0.14582914,0.12888451,0.18362787,0.23587221,0.28918275,0.16243257,0.10558637,0.14734074,0.26411721,0.28090703,0.20204861,0.117544,0.15930827,0.22771633,0.29199779,0.20343369,0.10500124,0.11814803,0.26602009,0.21926692,0.29156369,0.000240012,5.4899E-05,0.006516102,0.003082793,0.019142136,0.48972049,0.56959015,0.56577599,0.58763808,0.60728627,0,0
2666,Adelphi University,2,6,Selective private,1,1,NY,19400,New York,36059,Nassau,0,509,0.71840209,0.54553699,0.032585073,0.002612555,130723.7409,96300,0.648892214,0.087048024,0.12853861,0.15643388,0.22986455,0.39811498,0.2053698,0.10392397,0.023863256,0.00193671,0.65645194,54029.66686,50700,55000,0.092774801,0.10051541,0.11300756,0.14764461,0.19315448,0.445678,0.24363674,0.10178581,0.014892664,0.63396782,0.62208229,0.66312301,0.65213352,0.67233694,0.098475181,0.1251636,0.19384955,0.20817724,0.37433442,0.12819031,0.11394597,0.1512318,0.19388846,0.41274351,0.090565264,0.10661294,0.1711234,0.19665042,0.43504792,0.087775581,0.13160761,0.16251582,0.19001622,0.42808473,0.10329168,0.10181998,0.1185716,0.19007106,0.48624572,0.030012798,0,0.012568131,0.019824557,0.014460809,0.47028729,0.42311192,0.59426481,0.54417533,0.58315676,0,0
2234,Adrian College,2,6,Selective private,1,2,MI,11500,Jackson,26091,Lenawee,0,240.3333333,0.55478501,0.65137172,0.009564629,4.23077E-05,113708.1117,88500,0.643139329,0.060760289,0.11535594,0.20081325,0.28132689,0.34174353,0.1497259,0.072932914,0.011504383,0.001322675,0.60715014,43944.55249,40300,42700,0.082058199,0.085792035,0.12808184,0.21049739,0.30366662,0.27196202,0.11347157,0.038714342,0.003567733,0.54885733,0.60171163,0.5991171,0.59635538,0.63295698,0.15087558,0.16439058,0.21269469,0.31462336,0.15741579,0.083161861,0.14765577,0.20696786,0.33797786,0.22423662,0.073973455,0.1153337,0.24982749,0.3447499,0.21611543,0.09041439,0.13870628,0.23076543,0.26504341,0.27507061,0.078247949,0.113764,0.17150237,0.2977908,0.33869484,0.000696305,0,0.006753096,0,0.006347785,0.43425807,0.68422318,0.60610479,0.68589699,0.67706251,0,0
1542,Agnes Scott College,2,4,Highly selective private,1,3,GA,9100,Atlanta,13089,DeKalb,0,164,0.99695122,0.50208014,0.014744159,8.42821E-05,148536.1146,97200,0.646476328,0.072003044,0.12996751,0.15526837,0.226091,0.41667008,0.23255238,0.11762413,0.012381608,0.002919478,0.58335757,45756.53516,38900,47300,0.12491813,0.13175504,0.15667561,0.19311041,0.23435101,0.28410792,0.16471973,0.073669724,0.015001114,0.46623808,0.58050793,0.50426215,0.58574533,0.63266397,0.28022349,0.07410422,0.27148008,0.1694209,0.20477132,0.11097127,0.16873075,0.18285468,0.30575338,0.23168989,0.15743414,0.18397909,0.25496072,0.24033324,0.16329277,0.15193644,0.13143396,0.19250344,0.19068885,0.33343729,0.092061885,0.17070626,0.16004801,0.244762,0.33242187,0.001170535,0.000225798,0,0.025556557,0.02186233,0.3770501,0.41193375,0.40943015,0.55191076,0.55929083,1,1
1002,Alabama Agricultural & Mechanical University,1,5,Selective public,1,3,AL,6000,Huntsville,1089,Madison,0,943.6666667,0.51395267,0.23482969,0.0421931,0.000729114,57659.15269,44500,0.425329574,0.24356118,0.26432449,0.19608772,0.17628771,0.11973897,0.032962188,0.009083641,0.000179344,0.000126663,0.55232471,37065.25163,32900,36200,0.10311734,0.11468282,0.17586538,0.24503741,0.25806373,0.20635071,0.083374694,0.023782138,0.002565126,0.5211789,0.54019493,0.5656352,0.56898648,0.5961265,0.12399267,0.22259933,0.23428085,0.24589306,0.17323409,0.1243574,0.17615318,0.25460184,0.26393887,0.18094863,0.096729033,0.16766663,0.25030014,0.27120033,0.21410379,0.10120665,0.16306418,0.26565877,0.24599868,0.22407177,0.12363097,0.11244164,0.20682499,0.26610076,0.29100159,0.002993557,0,0.001887219,0.003465178,0.007141223,0.22086081,0.1781698,0.23571385,0.27178454,0.33246547,0,0
1544,Albany State University,1,5,Selective public,1,3,GA,10200,Albany,13095,Dougherty,0,521,0.63595647,0.21053372,0.025794942,0,54718.25916,43800,0.420957634,0.2330108,0.28163674,0.21580002,0.1759358,0.093616597,0.025878895,0.007332874,0.000947231,5.53046E-05,0.54412282,34497.28754,31900,34200,0.085406974,0.093914047,0.18369989,0.28970152,0.28861758,0.14406691,0.048978284,0.017631337,0.002489291,0.53273994,0.53246611,0.55508345,0.55814928,0.55589658,0.09824013,0.18687022,0.30519167,0.2989952,0.11070278,0.12044726,0.18338485,0.25743341,0.28514218,0.15359226,0.067755647,0.19607347,0.29758337,0.2815105,0.15707694,0.075997531,0.16443847,0.31461477,0.290117,0.15483226,0.097293735,0.18443225,0.28323352,0.28680816,0.14823236,0,0,0.003025506,0.003617099,0.012818338,0.21261843,0.17968261,0.22384241,0.23348497,0.22434641,0,0
1374,Albertus Magnus College,2,6,Selective private,1,1,CT,20901,Bridgeport,9009,New Haven,0,65.66666667,,0.40746137,0.055204768,3.81609E-05,89400.36429,68600,0.545599098,0.12973523,0.16373675,0.24205586,0.23975486,0.22471726,0.10005123,0.049870253,0.003582891,0.000145413,0.60999703,46223.49183,43400,46600,0.10077129,0.10721236,0.11510016,0.17584687,0.29042935,0.31141117,0.11739289,0.045220874,0.007106876,0.64958918,0.58678138,0.54167324,0.60118973,0.68704736,0.12291561,0.043880645,0.15430401,0.25338107,0.42551869,0.144779,0.14941186,0.12555838,0.38164654,0.19860429,0.096730411,0.19794606,0.23680358,0.2277943,0.24072568,0.079624049,0.12032919,0.16384257,0.33936948,0.29683465,0.11149934,0.036399391,0.17207381,0.26060718,0.41942024,0.000294145,0.000152151,0.000185857,0.006170288,0.024561787,0.41893652,0.30738115,0.44831705,0.52708399,0.30212298,0.55329949,1
2235,Albion College,2,6,Selective private,1,2,MI,12100,Kalamazoo,26025,Calhoun,0,398,0.56407034,0.67621833,0.006813185,0.000116058,159765.401,120700,0.738589386,0.022652306,0.069142476,0.13488385,0.23832628,0.53499514,0.33973223,0.17897189,0.029275218,0.001655841,0.67515606,59085.63802,48900,52700,0.074271537,0.080197066,0.083193086,0.16121066,0.28650948,0.38888973,0.2242059,0.11018217,0.030884888,0.60948843,0.66981977,0.65662861,0.64705962,0.69581354,0.14408763,0.059088588,0.2908856,0.20516592,0.30077225,0.10916179,0.083761148,0.15244508,0.32469621,0.3299357,0.11017421,0.10813068,0.16611847,0.25071052,0.36486614,0.08692459,0.093195707,0.1764724,0.31880361,0.32460377,0.063193649,0.073397063,0.14881685,0.27965793,0.43493444,0.005123456,0.001326164,0.041799247,0.020127658,0.037836127,0.68895674,0.61232638,0.64672351,0.6594696,0.6988337,1,1
3229,Albright College,2,6,Selective private,1,1,PA,19100,Reading,42011,Berks,0,314,0.59023356,0.58927262,0.013705797,4.25398E-05,139372.1685,89000,0.646742554,0.051434021,0.1267895,0.2036522,0.29418346,0.32394081,0.14266323,0.055048574,0.013267925,0.001129514,0.66668701,53178.0486,47300,49400,0.081773981,0.083530881,0.084608302,0.15384553,0.30077812,0.37723714,0.19147386,0.096633479,0.017509378,0.63497001,0.60702676,0.62192178,0.70007145,0.69289869,0.066032879,0.14418307,0.19928795,0.32402268,0.26647335,0.11693745,0.1058415,0.18405262,0.28263602,0.31053242,0.1157285,0.12505534,0.15163495,0.30375552,0.30382571,0.056152213,0.068366826,0.14128643,0.31158295,0.42261156,0.077855848,0.056160282,0.14760253,0.2925041,0.42587715,0.000827076,0,0.020884426,0.017805081,0.024620915,0.37012544,0.43020609,0.57262748,0.63864368,0.65195459,0,0
