super_opeid,name,type,tier,tier_name,iclevel,region,state,cz,czname,cfips,county,multi,count,female,k_married,mr_kq5_pq1,mr_ktop1_pq1,par_mean,par_median,par_rank,par_q1,par_q2,par_q3,par_q4,par_q5,par_top10pc,par_top5pc,par_top1pc,par_toppt1pc,k_rank,k_mean,k_median,k_median_nozero,k_0inc,k_q1,k_q2,k_q3,k_q4,k_q5,k_top10pc,k_top5pc,k_top1pc,k_rank_cond_parq1,k_rank_cond_parq2,k_rank_cond_parq3,k_rank_cond_parq4,k_rank_cond_parq5,kq1_cond_parq1,kq2_cond_parq1,kq3_cond_parq1,kq4_cond_parq1,kq5_cond_parq1,kq1_cond_parq2,kq2_cond_parq2,kq3_cond_parq2,kq4_cond_parq2,kq5_cond_parq2,kq1_cond_parq3,kq2_cond_parq3,kq3_cond_parq3,kq4_cond_parq3,kq5_cond_parq3,kq1_cond_parq4,kq2_cond_parq4,kq3_cond_parq4,kq4_cond_parq4,kq5_cond_parq4,kq1_cond_parq5,kq2_cond_parq5,kq3_cond_parq5,kq4_cond_parq5,kq5_cond_parq5,ktop1pc_cond_parq1,ktop1pc_cond_parq2,ktop1pc_cond_parq3,ktop1pc_cond_parq4,ktop1pc_cond_parq5,k_married_cond_parq1,k_married_cond_parq2,k_married_cond_parq3,k_married_cond_parq4,k_married_cond_parq5,shareimputed,imputed
2115,Amherst College,2,2,Other elite schools (public and private),1,1,MA,20800,Springfield,25015,Hampshire,0,389.6666667,0.48417452,0.55561686,0.019616831,0.0026927,440985.7169,181300,0.809826901,0.042215958,0.059988361,0.094621271,0.097151466,0.70602298,0.58360541,0.43920442,0.16812453,0.023892084,0.74838555,104541.7443,69300,72500,0.073686346,0.079923436,0.083400652,0.081692338,0.1608569,0.5941267,0.43542123,0.34223711,0.14266573,0.66988289,0.73298883,0.72847432,0.70291072,0.76331365,0.2010996,0.04138235,0.13195018,0.16088974,0.46467811,0.097316489,0.007827004,0.12437228,0.1516825,0.61880171,0.096364677,0.095342204,0.061295453,0.19247982,0.55451787,0.08013238,0.11241512,0.107003,0.19398487,0.5064646,0.068967782,0.086741418,0.074311592,0.15283781,0.61714137,0.063783929,0.086978391,0.11968805,0.062272429,0.16625583,0.44846746,0.51336056,0.53543192,0.47119379,0.57993621,0,0
2708,Barnard College,2,2,Other elite schools (public and private),1,1,NY,19400,New York,36061,New York,0,535.3333333,0.99564135,0.5202992,0.034545787,0.004341159,310543.0638,148000,0.763227488,0.065402597,0.08757998,0.092271917,0.12810346,0.62664211,0.49403974,0.37600601,0.12618665,0.016250985,0.67723608,71527.04265,56300,62700,0.12178598,0.12706351,0.098978415,0.10596091,0.1582343,0.50976288,0.32290545,0.21107487,0.067330688,0.66647935,0.69553953,0.6804592,0.65831298,0.67919439,0.14824867,0.082157001,0.089711644,0.15168069,0.52820206,0.08662869,0.12522943,0.10072298,0.19281293,0.4946059,0.14354645,0.073146887,0.10503189,0.15169558,0.5265792,0.11764789,0.14397819,0.12883288,0.13397598,0.47556511,0.13000134,0.091669604,0.10385,0.16000745,0.51447153,0.066375941,0.021343723,0.047252588,0.057197608,0.078885458,0.52110547,0.46193597,0.45664048,0.46934551,0.54816192,0,0
2036,Bates College,2,2,Other elite schools (public and private),1,1,ME,20100,Portland,23001,Androscoggin,0,427,0.50351286,0.58164424,0.007581061,0.000867327,330710.9493,176900,0.836843799,0.018359207,0.047235712,0.07726942,0.16423874,0.6928969,0.57122076,0.43707693,0.13819,0.011415887,0.70537943,78932.22507,55900,59900,0.069011047,0.076321572,0.086994149,0.11487134,0.2234737,0.49833918,0.31821138,0.20628333,0.070174351,0.65905595,0.65311384,0.73000044,0.70128983,0.70839357,0.141469,0.036278658,0.22036593,0.18895684,0.41292965,0.038840253,0.097723477,0.12053496,0.25359088,0.48931041,0.041147329,0.084543847,0.10875634,0.36289549,0.40265697,0.093939193,0.080419742,0.099426053,0.23264676,0.49356824,0.076897129,0.089438088,0.11603298,0.20461302,0.51301873,0.047242079,0.01643502,0.048574414,0.070938118,0.076673165,0.54307902,0.48842886,0.63081574,0.59942788,0.57932198,0,0
2836,Binghamton University,1,3,Highly selective public,1,1,NY,17900,Union,36007,Broome,0,1975,0.54666668,0.55965865,0.050876305,0.004542319,117250.8662,104400,0.670249654,0.094252944,0.11719069,0.12297519,0.20344435,0.46213686,0.2639789,0.097712338,0.006443537,0.000203399,0.74108601,78401.14824,65700,70100,0.076534927,0.082781859,0.072408572,0.079424821,0.16891037,0.59647441,0.39748448,0.2411664,0.061370671,0.70988011,0.72293174,0.70951027,0.72698319,0.7666648,0.10189284,0.075072631,0.086852185,0.19639759,0.53978479,0.097095817,0.080118649,0.085658796,0.18577896,0.55134773,0.096523859,0.096287936,0.089918919,0.17186885,0.54540044,0.097474925,0.076912791,0.083212756,0.16410938,0.57829016,0.065129347,0.061572876,0.071869127,0.16035298,0.64107567,0.048192862,0.049159482,0.042542934,0.061421305,0.072142646,0.46600881,0.46613833,0.54119426,0.57817709,0.59923494,0,0
2128,Boston College,2,2,Other elite schools (public and private),1,1,MA,20500,Boston,25017,Middlesex,0,2147.333333,0.51660973,0.60101098,0.016028848,0.002013126,394426.3457,168400,0.814904481,0.028515624,0.05650644,0.083928712,0.13771647,0.69333279,0.55180222,0.41274211,0.13808219,0.018053349,0.76141644,99796.0483,71800,76800,0.077680364,0.084641755,0.063135073,0.065523401,0.14776297,0.63893688,0.46111041,0.32092065,0.10903931,0.70580006,0.72127658,0.73597211,0.75249785,0.77182674,0.11552202,0.097339176,0.058737025,0.1662942,0.56210756,0.078181528,0.097896054,0.11796306,0.16232756,0.54363185,0.081612617,0.072357871,0.073420808,0.20112027,0.57148844,0.088398762,0.058384925,0.06515231,0.15930039,0.62876356,0.083518624,0.058722392,0.060646404,0.13706316,0.66004944,0.070597284,0.05271323,0.079539634,0.074337177,0.12567475,0.42735332,0.49798432,0.51399916,0.58722633,0.62982076,0,0
2038,Bowdoin College,2,2,Other elite schools (public and private),1,1,ME,20100,Portland,23005,Cumberland,0,418,0.51275915,0.59304941,0.010947428,0.000877629,410517.6497,177600,0.814077114,0.026358966,0.051449575,0.093983881,0.1360158,0.69219184,0.57062936,0.43701988,0.1536718,0.017733283,0.72696257,88443.58568,61000,63800,0.069374852,0.077352732,0.08333841,0.10572745,0.17606591,0.5575155,0.36801165,0.25249949,0.085235901,0.64177203,0.64341491,0.74242383,0.69098455,0.74138689,0.068084434,0.09386538,0.15731452,0.26541489,0.41532084,0.080379702,0.14389701,0.17224547,0.21597262,0.38750523,0.046606954,0.066945434,0.12947084,0.20635708,0.55061966,0.09198793,0.088248499,0.12536557,0.16813941,0.52625853,0.078779437,0.079697259,0.091736093,0.16714194,0.58264524,0.033295263,0.056099765,0.063800871,0.072483726,0.094795652,0.44437158,0.47835803,0.5928753,0.57902402,0.61001551,0,0
2133,Brandeis University,2,2,Other elite schools (public and private),1,1,MA,20500,Boston,25017,Middlesex,0,715,0.57296038,0.58348888,0.020382755,0.003786037,299664.4729,142700,0.773560667,0.040012892,0.069371127,0.11065703,0.16196483,0.61799419,0.47606823,0.31855661,0.086154282,0.013124366,0.71823013,78200.06473,63100,67000,0.082416669,0.08713001,0.091021225,0.097780459,0.17101504,0.55305332,0.36968365,0.24771248,0.076518171,0.67211378,0.70838678,0.69484848,0.72092366,0.72580165,0.13188297,0.078414723,0.10949645,0.17080119,0.50940466,0.12037488,0.10638728,0.063669853,0.14672694,0.56284112,0.10272445,0.10401097,0.092147857,0.17936149,0.52175522,0.093267873,0.091599911,0.088470697,0.17447369,0.55218786,0.076099671,0.087634981,0.10429934,0.17135431,0.56061167,0.094620414,0.093958221,0.037722092,0.072800785,0.081309453,0.45781514,0.47911137,0.50120527,0.62688816,0.60670173,0,0
3401,Brown University,2,1,Ivy Plus,1,1,RI,20401,Providence,44007,Providence,0,1314.666667,0.5372718,0.53014421,0.015486852,0.002026412,542890.8085,197000,0.835831058,0.029180808,0.042766131,0.070927814,0.12094032,0.73618495,0.62202811,0.4801276,0.18865089,0.031548195,0.73642915,106812.8054,66900,73800,0.08557798,0.091435,0.088255256,0.085129827,0.14585629,0.58932364,0.43395707,0.31550881,0.13741633,0.73405719,0.7257883,0.71238077,0.74321991,0.73834264,0.11756974,0.067711875,0.092710406,0.19128755,0.53072047,0.098795496,0.084669299,0.089191571,0.17749153,0.54985213,0.11475868,0.069149934,0.12108674,0.14982739,0.54517722,0.07957679,0.095098145,0.076338083,0.14927511,0.59971189,0.089672424,0.089994416,0.082573429,0.1412735,0.59648615,0.0694433,0.13064334,0.12165485,0.13916332,0.14173564,0.42620111,0.50188857,0.4599652,0.51076233,0.54585117,0,0
3237,Bryn Mawr College,2,2,Other elite schools (public and private),1,1,PA,19700,Philadelphia,42091,Montgomery,0,265.3333333,0.99623114,0.46789965,0.018263785,0.00126671,222398.8616,125400,0.741593934,0.051568918,0.088967226,0.12213887,0.17481363,0.56251127,0.410871,0.27508262,0.070389114,0.005911521,0.6327461,53655.57523,47400,51200,0.1153004,0.12951466,0.12176197,0.13738212,0.21948376,0.39185739,0.22912551,0.13419098,0.029328112,0.56370586,0.59787184,0.63338417,0.67492145,0.63134575,0.21662934,0.093003884,0.12561303,0.21059112,0.35416266,0.11635948,0.14740404,0.16821636,0.29659081,0.27142927,0.13076407,0.084263541,0.16090995,0.20681806,0.4172444,0.077662297,0.078869678,0.19903849,0.1811063,0.46332324,0.13945206,0.14181472,0.10931452,0.22278054,0.38663819,0.024563445,0,0.009559204,0.035763495,0.036695983,0.36390257,0.60580868,0.43277815,0.46773127,0.46330029,0,0
3238,Bucknell University,2,2,Other elite schools (public and private),1,1,PA,18700,Sunbury,42119,Union,0,824,0.49595469,0.6546995,0.014601452,0.001628744,296115.8312,149800,0.794165955,0.026475985,0.057272293,0.10861945,0.1671465,0.64048576,0.50025469,0.36212891,0.11221072,0.012693713,0.76141262,100204.6075,71800,77700,0.076294713,0.080199078,0.057688009,0.080878526,0.14595622,0.63527822,0.46019247,0.31738994,0.095492952,0.67634869,0.69234407,0.73306161,0.74484038,0.78023791,0.1053957,0.085105523,0.10528251,0.15271823,0.551498,0.11585462,0.097710915,0.069176316,0.17582896,0.54142922,0.096598379,0.052148871,0.10509421,0.18002144,0.56613714,0.08787518,0.075075783,0.078443266,0.17611627,0.58248949,0.071184821,0.049377508,0.077444948,0.12935756,0.6726352,0.061517786,0.019460391,0.062484335,0.071296461,0.11560865,0.53803253,0.5836845,0.65493172,0.68328023,0.65837437,0,0
